fighter aircraft,Aircraft
SAM,Missiles
ASW aircraft,Aircraft
anti-ship missile,Missiles
naval gun,Naval weapons
support ship,Ships
self-propelled gun,Artillery
patrol craft,Ships
ship engine,Engines
destroyer,Ships
transport aircraft,Aircraft
combat aircraft radar,Sensors
tug,Ships
transport helicopter,Aircraft
FGA aircraft,Aircraft
minesweeper,Ships
BVRAAM,Missiles
gas turbine,Engines
submarine,Ships
APC,Armoured vehicles
trainer/light aircraft,Aircraft
bomber aircraft,Aircraft
helicopter,Aircraft
reconnaissance aircraft,Aircraft
light aircraft,Aircraft
UAV,Aircraft
portable SAM,Missiles
tank destroyer,Armoured vehicles
vehicle engine,Engines
anti-tank missile,Missiles
height-finding radar,Sensors
aircraft EO system,Sensors
maritime patrol aircraft,Aircraft
light helicopter,Aircraft
ARV,Armoured vehicles
aircraft recce system,Sensors
anti-ship missile/SSM,Missiles
aircraft engine,Engines
light transport aircraft,Aircraft
self-propelled AA gun,Air defence systems
combat helicopter,Aircraft
air search radar,Sensors
light tank,Armoured vehicles
artillery locating radar,Sensors
ASM,Missiles
tanker,Ships
turbofan,Engines
towed gun,Artillery
SRAAM,Missiles
ASW torpedo,Missiles
AGS aircraft,Aircraft
tank,Armoured vehicles
guided bomb,Missiles
trainer aircraft,Aircraft
frigate,Ships
ASW helicopter,Aircraft
tanker/transport aircraft,Aircraft
armed UAV,Aircraft
trainer/combat aircraft,Aircraft
AA gun,Air defence systems
AEW radar,Sensors
AEW&C aircraft,Aircraft
ALV,Other
anti-aircraft gun,Air defence systems
anti-radar missile,Missiles
anti-ship torpedo,Missiles
anti-ship/land-attack missile,Missiles
anti-tank missile/ASM,Missiles
APV,Armoured vehicles
armoured car,Armoured vehicles
ASW sonar,Sensors
coastal defence system,Missiles
corvette,Ships
FAC,Ships
fire control radar,Sensors
ground/sea search radar,Sensors
guided glide bomb,Missiles
landing craft,Ships
landing ship,Ships
MCM ship,Ships
minehunter,Ships
mobile SAM system,Air defence systems
OPV,Ships
reconnaissance AV,Armoured vehicles
replenishment ship,Ships
SAM system,Air defence systems
self-propelled mortar,Artillery
self-propelled MRL,Artillery
SIGINT aircraft,Aircraft
turbojet,Engines
MP aircraft radar,Sensors
cargo ship,Ships
AGS radar,Sensors
mortar,Artillery
cruiser,Ships
AALS,Ships
FGA/EW aircraft,Aircraft
SSM,Missiles
naval SAM system,Air defence systems
nuclear submarine,Ships
combat heli radar,Sensors
anti-ship/ASW torpedo,Missiles
guided shell,Missiles
ground surv radar,Sensors
heavy transport aircraft,Aircraft
IFV turret,Other
guided rocket,Missiles
IFV,Armoured vehicles
AEV,Armoured vehicles
armoured bridgelayer,Armoured vehicles
tank turret,Other
SSM launcher,Other
APC/APV,Armoured vehicles
air refuel system,Other
AFSV,Armoured vehicles
towed MRL,Artillery
ground attack aircraft,Aircraft
sea search radar,Sensors
AEW aircraft,Aircraft
SIGINT system,Sensors
frigate/landing ship,Ships
AEW/AGS aircraft,Aircraft
APC turret,Other
OPV/support ship,Ships
gunboat,Ships
aircraft carrier,Ships
ABM missile,Missiles
minelayer,Ships
self-propelled AD system,Air defence systems
anti-ship missile/ASM,Missiles
APC/IFV,Armoured vehicles
reconnaissance/SIGINT aircraft,Aircraft
ASW MRL,Missiles
ASW rocket launcher,Missiles
SAM/ABM,Air defence systems
submarine sonar,Sensors
transport ac/helicopter,Aircraft
IFV/AFSV,Armoured vehicles
loitering munition,Aircraft
support craft,Ships
AA gun/SAM system,Air defence systems
ABM system,Air defence systems
anti-tank AV turret,Other
air/sea search radar,Sensors
light aircraft/UAV,Aircraft
salvage ship,Ships
tank chassis,Other
SAM system radar,Sensors
SONAR,Sensors
survey ship,Ships
air search system,Sensors
multi-role radar,Sensors
SLBM,Missiles
nuclear reactor,Other
airship,Aircraft
